"method","results"
"lasso.min",16.9819908032913
"lasso.1se",18.3982490378524
"enet.min",16.9819908032913
"enet.1se",18.3982490378524
"ols",15.9513352380786
"p0.05",14.9631958622521
"p0.15",15.237969589296
"step.aic",15.3435964337054
"step.bic",15.3705989821351
"ridge",14.6728813787826
"lasso.min",14.7080455322227
"lasso.1se",15.6890387686835
"enet.min",14.6696810452565
"enet.1se",16.2539362525021
"ols",15.809733679993
"p0.05",16.5527743583074
"p0.15",16.7767083400238
"step.aic",16.0351345876039
"step.bic",17.4432143182652
"ridge",15.4680928615082
"lasso.min",16.6963081131267
"lasso.1se",18.0100832183269
"enet.min",15.4403664418386
"enet.1se",17.6861593398467
"ols",16.8980403651409
"p0.05",16.8187156881306
"p0.15",17.5542721365136
"step.aic",17.5526880618769
"step.bic",17.5894825636449
"ridge",16.07122493167
"lasso.min",16.7121157960972
"lasso.1se",20.0197760363453
"enet.min",16.1332961740577
"enet.1se",19.6442471367258
"ols",21.0029551985871
"p0.05",20.4299099569317
"p0.15",20.673624622869
"step.aic",19.87674645646
"step.bic",20.1497438761653
"ridge",19.3989156181434
"lasso.min",20.1458900994134
"lasso.1se",21.7693158293066
"enet.min",19.5451374823879
"enet.1se",21.8198390780086
"ols",14.7332635545242
"p0.05",16.9924348240006
"p0.15",15.5281258351295
"step.aic",14.6851600710103
"step.bic",17.0569833818936
"ridge",12.3361615084133
"lasso.min",14.0051287480157
"lasso.1se",13.8319684282007
"enet.min",12.2593393490007
"enet.1se",12.5161158195035
"ols",23.4329552523526
"p0.05",24.9912344009877
"p0.15",23.9876013138414
"step.aic",23.7164481548969
"step.bic",24.9912344009877
"ridge",22.5514941064454
"lasso.min",23.1475144603799
"lasso.1se",24.8906843656007
"enet.min",23.2721978782653
"enet.1se",24.9257616843115
"ols",20.9667674361372
"p0.05",20.3496672653441
"p0.15",21.7852317448107
"step.aic",20.5379456433931
"step.bic",20.7449852158308
"ridge",19.4890117128804
"lasso.min",19.7297475804505
"lasso.1se",20.9644711026718
"enet.min",19.4900491072007
"enet.1se",20.3040625690856
